id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
4826,The Place,6603,Kaan,,Uskudar,41.0565,29.05367,Entire home/apt,607,1,1,2009-06-01,0.01,1,365
20815,The Bosphorus from The Comfy Hill,78838,Gülder,,Besiktas,41.06984,29.04545,Entire home/apt,110,30,41,2018-11-07,0.36,2,179
25436,House for vacation rental furnutare,105823,Yesim,,Besiktas,41.07731,29.03891,Entire home/apt,231,21,0,,,1,2
27271,LOVELY APT. IN PERFECT LOCATION,117026,Mutlu,,Beyoglu,41.0322,28.98216,Entire home/apt,196,20,10,2018-05-04,0.67,1,0
28277,Duplex Apartment with Terrace,121607,Alen,,Sisli,41.04471,28.98567,Entire home/apt,653,3,0,,,19,362
28318,Cosy home overlooking Bosphorus,121721,Aydin,,Sariyer,41.09048,29.05559,Entire home/apt,693,3,0,,,1,365
29241,"↪ Istanbul, Your second house ",125742,Şevki,,Beyoglu,41.04844,28.95254,Private room,289,3,0,,,1,365
30697,nice home in popular area,132137,Nan,,Beyoglu,41.0335,28.97626,Private room,659,1,1,2010-06-14,0.01,1,365
33368,Deluxe double bedroom @ Nisantasi,135136,Ozlem,,Sisli,41.05382,28.99739,Private room,329,2,1,2014-10-21,0.02,2,363
33580,single/double visitors,145271,Mine,,Besiktas,41.07687,29.02714,Private room,179,2,10,2017-12-02,0.09,1,363
33730,Bosphorus Turquoise Room! Sea view♡,145810,Tony,,Beykoz,41.08765,29.07596,Private room,116,2,11,2018-12-31,0.19,8,180
34925,A room in galata beyoglu,150435,Esr,,Beyoglu,41.02704,28.97588,Private room,399,1,0,,,1,365
35580,Sea View terrace  House,153032,Michel,,Beyoglu,41.03658,28.97213,Entire home/apt,393,60,37,2018-10-07,0.55,2,359
35938,Cosy Room in Istanbul Center,154245,Sinan,,Besiktas,41.04902,28.99829,Private room,433,1,0,,,1,365
41753,Örücü Palace / Princess Apartment,182639,Mehmet Ali,,Beyoglu,41.02725,28.97718,Entire home/apt,387,5,46,2017-05-21,0.43,6,179
44429,"COZY, CENTRAL, LOVELY&CHECK OUT THE BATHROOM!*",194194,Zeyno,,Beyoglu,41.03082,28.97958,Entire home/apt,277,5,12,2019-06-04,1.10,1,34
47264,Kurucesme stunning seaview peacfull Flat,213410,Evrim,,Besiktas,41.06486,29.03473,Entire home/apt,433,3,8,2018-09-12,0.08,6,307
47377,Double Room in Taksim,214374,Bertan Kemal,,Beyoglu,41.03467,28.98902,Private room,289,3,0,,,1,365
48503,MECİDİYEKÖY MERKEZDE 2+1 GÜNLÜK KİRALIK APART,220972,Barış,,Sisli,41.06761,28.98895,Entire home/apt,387,1,0,,,5,365
48506,MECİDİYEKÖY MERKEZDE 1+0 STUDYO APART,220972,Barış,,Sisli,41.06837,28.99203,Entire home/apt,179,5,1,2019-04-16,0.40,5,353
49955,A room with a view of Bosphorous.,228352,Oz,,Fatih,41.01717,28.96325,Private room,329,1,0,,,1,365
52828,Prince(Garden Apart),182639,Mehmet Ali,,Beyoglu,41.02752,28.97858,Entire home/apt,387,5,27,2017-03-14,0.27,6,179
58441,Private  studio bestlocation@Taksim,279673,Engin,,Beyoglu,41.0385,28.98189,Entire home/apt,196,28,16,2016-12-31,0.18,4,364
60923,1+1 Closed to Taksim Square,294332,Selin,,Sisli,41.04693,28.98002,Entire home/apt,202,2,0,,,1,176
62172,Central Location Taksim/Cihangir ,302361,Nurten,,Beyoglu,41.03442,28.98561,Private room,526,3,0,,,3,365
62817,Quiet room in central apartment,305202,Oksan,,Beyoglu,41.03704,28.99067,Private room,254,2,74,2018-08-22,0.76,1,357
73477,Cozy Flat in center of Istanbul,383789,Berat,,Beyoglu,41.03553,28.98706,Private room,202,2,0,,,1,365
77190,flat with garden'n' terrace taksim,413150,Baris,,Beyoglu,41.03343,28.99057,Entire home/apt,231,5,33,2018-08-16,0.34,1,0
77292,Gümüşsuyu Apartment,414003,Gumussuyu,,Beyoglu,41.03656,28.98873,Entire home/apt,659,3,0,,,1,363
85717,"Historical&Cozy Apt-Cihangir,Taksim",468624,Isil,,Beyoglu,41.03209,28.98603,Entire home/apt,462,3,74,2014-11-05,0.74,8,365
87024,Nisantasi Studio Apartment,413986,Nisantasi,,Sisli,41.05018,28.99015,Entire home/apt,1641,1,0,,,1,365
87557,❤️1BR APT★NISANTASI★RESIDENCE★RECEPTION★LIFT-1,461533,Cevdet,,Sisli,41.05058,28.98875,Entire home/apt,780,5,17,2018-10-19,0.22,39,364
88949,Wonderful room with Historical View,485384,Alev,,Beyoglu,41.03326,28.97876,Private room,173,2,84,2019-06-15,0.85,1,365
97800,Bosphorus Views,517242,Selcuk,,Beyoglu,41.02945,28.97404,Entire home/apt,428,3,0,,,1,0
101397,❛Cozy • Clean • Central • Room❜,531367,Guliz,,Beyoglu,41.03082,28.98053,Private room,98,2,63,2019-06-28,0.65,1,342
108038,Agan Hotel,559244,Vakif,,Fatih,41.01429,28.97836,Private room,428,1,1,2012-07-25,0.01,2,365
108537,Cihangir Connection,561692,Hasan,,Beyoglu,41.03103,28.984,Entire home/apt,289,2,3,2018-04-11,0.15,1,365
110344,"Private bathroom, Wi-Fi, breakfast, downtown !!!",566816,Tony,,Fatih,41.00389,28.97648,Private room,231,4,0,,,1,365
114786,Blue Mosque View in Sultanahmet,582060,Fernando,,Fatih,41.00527,28.97851,Entire home/apt,584,3,61,2019-06-14,0.68,13,305
127912,"View, Kid-friendly, Central @Taksim",632856,Secil,,Beyoglu,41.03518,28.99216,Entire home/apt,324,4,26,2019-06-11,0.31,2,307
130225,Room in a modern home.,641487,Efe,,Kadikoy,40.97618,29.04442,Private room,289,1,1,2012-08-04,0.01,1,365
130231,Flat with super Golden Horn view,641504,Chris,,Beyoglu,41.03398,28.97297,Entire home/apt,468,3,7,2019-01-03,0.07,1,58
133148,Eveything you need - as you wish,654031,Nurhan,,Kagithane,41.06496,28.95651,Entire home/apt,867,2,0,,,1,365
135956,Single private room in shared flat,666066,Ali,,Beyoglu,41.02893,28.9779,Private room,81,10,23,2018-10-01,0.24,15,194
136818,warm family place ..,669517,Cengiz,,Kadikoy,40.98242,29.05151,Private room,376,1,0,,,1,365
138394,Entire Flat at Cihangir/Taksim,675641,Juliet,,Beyoglu,41.03282,28.98537,Entire home/apt,693,1,0,,,1,365
139351,flat in galata 150sqm fantastic vue,679615,Paskal,,Beyoglu,41.02658,28.9759,Entire home/apt,445,5,26,2019-06-20,1.72,2,31
140269,Penthouse in Taxim -with 2 bedrooms,683356,Damir,,Beyoglu,41.03577,28.9773,Entire home/apt,329,3,129,2019-03-01,1.33,3,0
140952,(-55%)28nts in may 300€:Best LocationDuplex@Taksim,279673,Engin,,Beyoglu,41.03895,28.98387,Entire home/apt,295,15,8,2017-01-10,0.14,4,365
146854,Beautiful & Super Deluxe Flat,709964,Lily,,Sisli,41.04753,28.9803,Private room,347,1,0,,,1,365
155757,Cosy lovely room in Kadıkoy/Moda,748852,Asiye,,Kadikoy,40.98697,29.02771,Private room,202,2,15,2014-10-04,0.16,2,365
158461,Friendly Family Home,760827,Enathol,,Adalar,40.87171,29.1291,Private room,578,1,0,,,1,365
158618,King Suite Studio  Near Taksim Square,730566,Murat,,Beyoglu,41.03767,28.98219,Private room,364,1,0,,,3,365
160809,"""Homeinİstanbul"" wGreat Location",770100,Neslihan,,Beyoglu,41.03224,28.98714,Entire home/apt,231,3,13,2015-10-06,0.14,2,173
161361,PERFECT LOCATION W BOSPHORUS VIEW!,771119,Ram,,Beyoglu,41.03061,28.97942,Entire home/apt,231,1,62,2019-06-19,0.64,6,323
162180,Nice flat in historical Galata ,775317,Cigdem,,Beyoglu,41.02622,28.97488,Entire home/apt,809,6,1,2011-09-25,0.01,1,365
163785,Fully furnished bosphorus view,781562,Belgin,,Sariyer,41.16308,29.03753,Private room,751,3,0,,,1,0
166265,Apartment in the Heart of the City1,792658,ISlK,,Beyoglu,41.03886,28.98199,Entire home/apt,254,2,127,2019-06-18,1.67,9,336
170150,Lovely Gardened House 10 minutes walking to metro,810759,Tuna,,Uskudar,41.01694,29.06929,Entire home/apt,289,4,81,2019-06-14,0.87,2,19
171593,Nice historical apartment in Galata,818744,Fırat,,Beyoglu,41.0278,28.97696,Entire home/apt,867,7,3,2012-01-07,0.03,1,365
175213,Great Quality Home-Unique Experience-30+ Review,837616,Oktay,,Uskudar,41.01602,29.01548,Private room,127,1,35,2015-08-08,0.37,1,365
175766,at the center of İstanbul..,840111,Kadir,,Sisli,41.07005,28.98561,Private room,173,1,0,,,1,365
178868,"Bright Room, Great Location...",770100,Neslihan,,Beyoglu,41.03237,28.9869,Private room,127,2,38,2015-12-31,0.40,2,267
180570,Feel at home@Istanbul city center,865041,Isil,,Beyoglu,41.02894,28.98594,Entire home/apt,462,1,0,,,1,0
181146,Exclusive terrace in Sultanahmet...,386745,Taner,,Fatih,41.00341,28.97725,Entire home/apt,433,2,40,2019-05-01,0.42,1,183
183804,"IN THE CENTER OF CIHANGIR, ISTANBUL",825635,Merve,,Beyoglu,41.03135,28.98414,Entire home/apt,277,3,658,2019-06-27,6.96,3,326
